human_fast_twitch	human_slow_twitch
EMC10	6.53917050691244	4.27302363488183
TNNT3	3.18049155145929	0.550937245313773
ATP2A1	2.43625192012289	0.276283618581907
MYH2	2.53993855606759	0.293398533007335
TPM1	1.463133640553	0.21841890790546
MYBPC2	0.990015360983103	0.0790546047269764
MYLPF	1.43087557603687	0.405867970660147
TNNC2	2.49078341013825	1.19559902200489
TPM3	0.267281105990783	2.25509372453138
TNNT1	0.778033794162826	4.21841890790546
MYH7B	0.0729646697388633	1.05460472697637
MYH7	0.481566820276498	2.00651996740016
ATP2A2	0.311827956989247	3.49714751426243
XPO4	0.261904761904762	3.11083944580277
CD36	0.574500768049155	2.37489812550937
TNNI1	0.314132104454685	1.32925835370823
LGR5	0.0998463901689708	0.862265688671557
USP54	0.315668202764977	1.25672371638142
